system:index,label,.geo
1_0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[113.80684330423564,22.711135428252447],[113.8090319867918,22.711135428252447],[113.8090319867918,22.712243882731705],[113.80684330423564,22.712243882731705],[113.80684330423564,22.711135428252447]]]}"
1_1,0,"{""type"":""Polygon"",""coordinates"":[[[113.85114988553384,22.70878125878198],[113.8517721580253,22.708820847277263],[113.85194381940227,22.708444756109923],[113.85260900723796,22.708464550407655],[113.85248026120523,22.709394879172418],[113.85147175061563,22.70965220303379],[113.85114988553384,22.70878125878198]]]}"
1_2,0,"{""type"":""Polygon"",""coordinates"":[[[113.79674124948968,22.70842726706645],[113.79717040293207,22.7082887068846],[113.7977497600793,22.708565827108117],[113.7975351833581,22.709496155184684],[113.79661250345697,22.709456566884676],[113.79674124948968,22.70842726706645]]]}"
1_3,0,"{""type"":""Polygon"",""coordinates"":[[[113.79320073359003,22.70533932118361],[113.79423070185175,22.705418500153087],[113.79425215952386,22.707180220381517],[113.79324364893428,22.707160425898117],[113.79320073359003,22.70533932118361]]]}"
1_4,0,"{""type"":""Polygon"",""coordinates"":[[[113.79727769129268,22.706289465795596],[113.79753518335811,22.706309260404915],[113.79750299684993,22.70681402197543],[113.79729914896478,22.70680412470761],[113.79727769129268,22.706289465795596]]]}"
1_5,0,"{""type"":""Polygon"",""coordinates"":[[[113.7794835023006,22.711304268544996],[113.78062075892291,22.711205299080667],[113.78070658961138,22.711898083828412],[113.77931184092363,22.712016846575995],[113.7794835023006,22.711304268544996]]]}"
1_6,0,"{""type"":""Polygon"",""coordinates"":[[[113.78986901560624,22.71098756600727],[113.79049128809771,22.711145917367716],[113.79055566111407,22.711759527159337],[113.78980464258989,22.711739733338028],[113.78986901560624,22.71098756600727]]]}"
1_7,0,"{""type"":""Polygon"",""coordinates"":[[[113.82454769827073,22.67147494178002],[113.82532017446704,22.67143534249438],[113.82549183584398,22.67321729902943],[113.82459061361497,22.673217299029428],[113.82454769827073,22.67147494178002]]]}"
1_8,0,"{""type"":""Polygon"",""coordinates"":[[[114.04131640631986,22.654513007672843],[114.04170264441801,22.65450310662869],[114.04178847510649,22.655116970015648],[114.0413593216641,22.655186276999775],[114.04131640631986,22.654513007672843]]]}"
1_9,0,"{""type"":""Polygon"",""coordinates"":[[[114.04073704917265,22.65396844918407],[114.04123057563139,22.653998152430077],[114.04128421981167,22.65366151526579],[114.04170264441801,22.65363181194696],[114.04164900023771,22.653918943759805],[114.04154171187712,22.654176371771097],[114.04097308356596,22.65421597603767],[114.04073704917265,22.654413997199196],[114.04073704917265,22.65396844918407]]]}"
1_10,0,"{""type"":""Polygon"",""coordinates"":[[[114.15893346092007,22.680570173588976],[114.15989905616544,22.681005736086448],[114.15895491859219,22.682431203675723],[114.15807515403532,22.682154030583053],[114.15893346092007,22.680570173588976]]]}"
1_11,0,"{""type"":""Polygon"",""coordinates"":[[[114.14355488700176,22.650594377278374],[114.14458485526349,22.65150529628566],[114.1442629901817,22.651921148605762],[114.14321156424785,22.651129047863076],[114.14355488700176,22.650594377278374]]]}"
1_12,0,"{""type"":""Polygon"",""coordinates"":[[[114.14917679709698,22.65067358786675],[114.14984198493266,22.65095082456617],[114.14960595053937,22.651307270928598],[114.14896222037578,22.651069640123136],[114.14917679709698,22.65067358786675]]]}"
1_13,0,"{""type"":""Polygon"",""coordinates"":[[[114.14538300988296,22.65837393484673],[114.14630568978407,22.658235324062513],[114.14658463952162,22.658849170758444],[114.14557612893202,22.658908575131697],[114.14538300988296,22.65837393484673]]]}"
1_14,0,"{""type"":""Polygon"",""coordinates"":[[[114.1824922205714,22.646582282872213],[114.18283554332531,22.646780315043483],[114.18262096660412,22.64695854375349],[114.18239029662885,22.64686447862981],[114.1824922205714,22.646582282872213]]]}"
1_15,0,"{""type"":""Polygon"",""coordinates"":[[[114.05206169661935,22.532105098484887],[114.05738319930491,22.53226365599184],[114.05746902999337,22.534721274070765],[114.05219044265208,22.534562719385544],[114.05206169661935,22.532105098484887]]]}"
1_16,0,"{""type"":""Polygon"",""coordinates"":[[[114.05858482894357,22.533730304301262],[114.06038727340159,22.533651026412493],[114.0603014427131,22.535315852518952],[114.05854191359934,22.53523657554044],[114.05858482894357,22.533730304301262]]]}"
1_17,0,"{""type"":""Polygon"",""coordinates"":[[[114.29189018990716,22.68915046819239],[114.29261975075923,22.689190062361686],[114.29268412377559,22.690021537274415],[114.29178290154657,22.690041334234667],[114.29189018990716,22.68915046819239]]]}"
1_18,0,"{""type"":""Polygon"",""coordinates"":[[[114.28968004967889,22.689882958472637],[114.28972296502313,22.689110874011647],[114.29101042535028,22.689091076916995],[114.2907958486291,22.689566206399476],[114.28968004967889,22.689882958472637]]]}"
1_19,0,"{""type"":""Polygon"",""coordinates"":[[[114.26937910983374,22.685478806462726],[114.27216860720921,22.68551840169275],[114.27199694583226,22.68892354868383],[114.2693361944895,22.689042331354084],[114.26937910983374,22.685478806462726]]]}"
1_20,0,"{""type"":""Polygon"",""coordinates"":[[[114.27075240084935,22.683063475802257],[114.27075240084936,22.682192362498864],[114.27178236911107,22.682231958678194],[114.2716965384226,22.683261455326488],[114.27075240084935,22.683063475802257]]]}"
1_21,0,"{""type"":""Polygon"",""coordinates"":[[[114.32205732382585,22.699659646050268],[114.32207878149795,22.698828229627715],[114.32364519156266,22.69861047687358],[114.32373102225112,22.699481485813134],[114.32205732382585,22.699659646050268]]]}"
1_22,0,"{""type"":""Polygon"",""coordinates"":[[[114.32453738362345,22.695251640850955],[114.32455884129557,22.694321216008312],[114.32546006352457,22.694301419666413],[114.32541714818032,22.694776531082482],[114.32496653706582,22.694895308679072],[114.32509528309855,22.695330825652185],[114.32453738362345,22.695251640850955]]]}"
1_23,0,"{""type"":""Polygon"",""coordinates"":[[[114.3620192541528,22.717028597030016],[114.36268444198849,22.713940845163926],[114.36470146316769,22.71425754086892],[114.3638002409387,22.71714735532599],[114.3620192541528,22.717028597030016]]]}"
1_24,0,"{""type"":""Polygon"",""coordinates"":[[[114.53553897841095,22.760851715976013],[114.53407985670687,22.758714734132337],[114.54472286207796,22.753490859974512],[114.54635364515902,22.755944522717336],[114.53553897841095,22.760851715976013]]]}"
1_25,0,"{""type"":""Polygon"",""coordinates"":[[[114.09869690997736,22.723300287966747],[114.10116454227106,22.723141950669195],[114.10137911899226,22.72741699338055],[114.09858962161678,22.727496159578234],[114.09869690997736,22.723300287966747]]]}"
1_26,0,"{""type"":""Polygon"",""coordinates"":[[[113.8472488858875,22.744962503123414],[113.84707722451054,22.74379494621816],[113.84795698906743,22.743854313759105],[113.84823593880496,22.745140604147426],[113.8472488858875,22.744962503123414]]]}"
1_27,0,"{""type"":""Polygon"",""coordinates"":[[[113.78783558870774,22.744830341404175],[113.78783558870775,22.743504469648208],[113.7882218268059,22.74356383731534],[113.78820036913376,22.74485013043744],[113.78783558870774,22.744830341404175]]]}"
1_28,0,"{""type"":""Polygon"",""coordinates"":[[[113.80409895615522,22.712952934488335],[113.80405604081099,22.712319536308698],[113.80942045884076,22.712319536308698],[113.80963503556197,22.71311128357529],[113.80409895615522,22.712952934488335]]]}"
1_29,0,"{""type"":""Polygon"",""coordinates"":[[[113.80298315720502,22.712121598776505],[113.80294024186078,22.711448609026203],[113.80405604081099,22.71160695985334],[113.80405604081099,22.712240361330174],[113.80298315720502,22.712121598776505]]]}"
