filename,rows,geom_type,crs,columns
深圳市_事件活动.shp,4,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_交通设施服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_住宿服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_体育休闲服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_公共设施.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_公司企业.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_医疗保健服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_商务住宅.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_地名地址信息.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_室内设施.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_摩托车服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_政府机构及社会团体.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_汽车服务.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_汽车维修.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
深圳市_汽车销售.shp,50,Point,EPSG:4326,adcode|address|adname|alias|business_a|children|citycode|cityname|discount_n|distance|entr_locat|event|exit_locat|gridcode|groupbuy_n|id|importance|lon|lat|match_|name|navi_poiid|parent|pcode|pname|poiweight|postcode|recommend|shopid|shopinfo|tag|tel|updatetime|typename|typecode|大类|中类|小类|geometry
