filename,adcode,address,adname,alias,business_a,children,citycode,cityname
深圳市_事件活动.shp,440304,深圳会展中心5号展馆,福田区,[],[],[],755,深圳市
深圳市_事件活动.shp,440305,欢乐谷,南山区,[],[],[],755,深圳市
深圳市_事件活动.shp,440307,大运路168号中海凯骊酒店内,龙岗区,[],[],[],755,深圳市
深圳市_事件活动.shp,440307,大运路168号中海凯骊酒店内,龙岗区,[],[],[],755,深圳市
深圳市_交通设施服务.shp,440305,学府路4-21号,南山区,[],科技园,[],755,深圳市
深圳市_交通设施服务.shp,440304,[],福田区,[],[],[],755,深圳市
深圳市_交通设施服务.shp,440306,福永镇深圳宝安国际机场T3航站楼F4层,宝安区,[],[],[],755,深圳市
深圳市_交通设施服务.shp,440309,民治街道致远中路28号深圳北站-1F层,龙华区,[],民治村,[],755,深圳市
深圳市_交通设施服务.shp,440309,民治街道致远中路28号深圳北站F1层,龙华区,[],[],[],755,深圳市
深圳市_住宿服务.shp,440305,西丽南路51号,南山区,[],西丽,[],755,深圳市
深圳市_住宿服务.shp,440306,沙井街道洋仔二路46号,宝安区,[],沙井,[],755,深圳市
深圳市_住宿服务.shp,440306,沙井上星华凌路67号,宝安区,[],沙井,[],755,深圳市
深圳市_住宿服务.shp,440306,西乡前进二路,宝安区,[],[],[],755,深圳市
深圳市_住宿服务.shp,440305,西丽镇茶光路,南山区,[],西丽,[],755,深圳市
深圳市_体育休闲服务.shp,440306,银田路26号城市峰尚花园121,宝安区,[],[],[],755,深圳市
深圳市_体育休闲服务.shp,440307,横岗街道六园路七号,龙岗区,[],横岗,[],755,深圳市
深圳市_体育休闲服务.shp,440306,福永街道龙翔路22-28号,宝安区,[],福永,[],755,深圳市
深圳市_体育休闲服务.shp,440311,光明街道光翠路北40号,光明区,[],[],[],755,深圳市
深圳市_体育休闲服务.shp,440311,体育公园路9号,光明区,南粤光明乳鸽文化美食园,[],[],755,深圳市
深圳市_公共设施.shp,440306,兴华二路73-57号,宝安区,[],新安,[],755,深圳市
深圳市_公共设施.shp,440306,松岗镇沙浦二村附近,宝安区,[],松岗,[],755,深圳市
深圳市_公共设施.shp,440306,宝安大道东50米,宝安区,[],松岗,[],755,深圳市
深圳市_公共设施.shp,440306,高速桥辅道东150米,宝安区,[],松岗,[],755,深圳市
深圳市_公共设施.shp,440306,碧头三工业大道与碧头工业大道交叉口北50米,宝安区,[],松岗,[],755,深圳市
深圳市_公司企业.shp,440306,福永107国道福永段11号(东方国际车城旁),宝安区,[],福永,[],755,深圳市
深圳市_公司企业.shp,440311,光明街道公常路234号,光明区,[],[],[],755,深圳市
深圳市_公司企业.shp,440306,松岗街道楼岗大道9-10号,宝安区,[],松岗,[],755,深圳市
深圳市_公司企业.shp,440306,松岗街道福岗路大洋洲科技园二栋二楼,宝安区,[],松岗,[],755,深圳市
深圳市_公司企业.shp,440307,愉龙路14号,龙岗区,[],[],[],755,深圳市
深圳市_医疗保健服务.shp,440306,碧头南路与许屋路交叉口西150米,宝安区,[],松岗,[],755,深圳市
深圳市_医疗保健服务.shp,440306,许屋路五巷2-1号,宝安区,[],松岗,[],755,深圳市
深圳市_医疗保健服务.shp,440306,碧头南路6号附近,宝安区,[],松岗,[],755,深圳市
深圳市_医疗保健服务.shp,440306,碧头南路10号附近,宝安区,[],[],[],755,深圳市
深圳市_医疗保健服务.shp,440306,松岗街道碧头社区碧头花园1-5,宝安区,[],松岗,[],755,深圳市
深圳市_商务住宅.shp,440306,德芳路与芳华二路交叉口东南50米,宝安区,[],福永,[],755,深圳市
深圳市_商务住宅.shp,440306,宝莲新村11巷15号,宝安区,[],新安,[],755,深圳市
深圳市_商务住宅.shp,440306,宝78区前进二路和流塘路交汇处流,宝安区,[],新安,[],755,深圳市
深圳市_商务住宅.shp,440306,石龙社区工业二路,宝安区,[],[],[],755,深圳市
深圳市_商务住宅.shp,440309,龙华镇春华路14号,龙华区,[],龙华,[],755,深圳市
深圳市_地名地址信息.shp,440306,桥荣路3号,宝安区,江豪商业步行街(江豪商业步行街),福永,[],755,深圳市
深圳市_地名地址信息.shp,440307,罗瑞合西区二巷14,龙岗区,[],[],[],755,深圳市
深圳市_地名地址信息.shp,440305,义学街与义学街四坊交叉口东50米,南山区,[],科技园,[],755,深圳市
深圳市_地名地址信息.shp,440307,平新北路6号,龙岗区,[],平湖,[],755,深圳市
深圳市_地名地址信息.shp,440307,龙岗区,龙岗区,[],[],[],755,深圳市
深圳市_室内设施.shp,440306,深圳宝安国际机场航站楼四层出发大厅1号门A岛尾,宝安区,[],[],[],755,深圳市
深圳市_室内设施.shp,440306,福永镇深圳宝安国际机场T3航站楼4F层,宝安区,[],[],[],755,深圳市
深圳市_室内设施.shp,440304,农林路69号印力中心L3层,福田区,[],[],[],755,深圳市
深圳市_室内设施.shp,440303,建设路1008号深圳站1F层,罗湖区,[],东门,[],755,深圳市
深圳市_室内设施.shp,440306,福永镇深圳宝安国际机场T3航站楼2F层,宝安区,[],[],[],755,深圳市
深圳市_摩托车服务.shp,440306,碧头南路顺兴电器厨具旁,宝安区,[],松岗,[],755,深圳市
深圳市_摩托车服务.shp,440306,沙浦社区沙朗路34号,宝安区,[],松岗,[],755,深圳市
深圳市_摩托车服务.shp,440306,朗碧路38号东北100米,宝安区,[],[],[],755,深圳市
深圳市_摩托车服务.shp,440306,松兴路与沙浦围工业大道交叉口西100米,宝安区,[],松岗,[],755,深圳市
深圳市_摩托车服务.shp,440306,碧朗路25号附近,宝安区,[],松岗,[],755,深圳市
深圳市_政府机构及社会团体.shp,440305,龙珠大道89号,南山区,深圳市交警队车管所兄弟车汇机动车登记服务站,[],[],755,深圳市
深圳市_政府机构及社会团体.shp,440304,新洲路,福田区,[],[],[],755,深圳市
深圳市_政府机构及社会团体.shp,440303,新秀村,罗湖区,中共东益汽车交易广场联合支委会,[],[],755,深圳市
深圳市_政府机构及社会团体.shp,440305,数字文化产业基地东塔3001号,南山区,[],科技园,[],755,深圳市
深圳市_政府机构及社会团体.shp,440309,和平路325号,龙华区,[],龙华,[],755,深圳市
深圳市_汽车服务.shp,440306,[],宝安区,[],沙井,[],755,深圳市
深圳市_汽车服务.shp,440306,[],宝安区,[],松岗,[],755,深圳市
深圳市_汽车服务.shp,440306,高速桥辅道,宝安区,[],松岗,[],755,深圳市
深圳市_汽车服务.shp,440306,平安大道与江边工业路交叉口西南150米,宝安区,[],松岗,[],755,深圳市
深圳市_汽车服务.shp,440306,朗碧路与碧朗路交叉口西北50米,宝安区,[],松岗,[],755,深圳市
深圳市_汽车维修.shp,440306,民主大道濠景时代小区旁,宝安区,[],沙井,[],755,深圳市
深圳市_汽车维修.shp,440306,沙三社区友谊路51号,宝安区,[],沙井,[],755,深圳市
深圳市_汽车维修.shp,440306,温馨路立新湖花园88号,宝安区,[],福永,[],755,深圳市
深圳市_汽车维修.shp,440306,广田路136号附近,宝安区,[],[],[],755,深圳市
