filename,total_rows,null_geometry,null_geometry_pct,name_field,null_name,duplicate_name,full_duplicate_rows,duplicate_geometry
深圳市_事件活动.shp,4,0,0.0,adname,0,1,0,0
深圳市_交通设施服务.shp,50,0,0.0,adname,0,43,0,0
深圳市_住宿服务.shp,50,0,0.0,adname,0,44,0,0
深圳市_体育休闲服务.shp,50,0,0.0,adname,0,42,1,1
深圳市_公共设施.shp,50,0,0.0,adname,0,49,0,0
深圳市_公司企业.shp,50,0,0.0,adname,0,41,1,1
深圳市_医疗保健服务.shp,50,0,0.0,adname,0,49,0,1
深圳市_商务住宅.shp,50,0,0.0,adname,0,43,0,0
深圳市_地名地址信息.shp,50,0,0.0,adname,0,42,0,0
深圳市_室内设施.shp,50,0,0.0,adname,0,47,0,3
深圳市_摩托车服务.shp,50,0,0.0,adname,0,48,0,0
深圳市_政府机构及社会团体.shp,50,0,0.0,adname,0,43,1,1
深圳市_汽车服务.shp,50,0,0.0,adname,0,49,0,0
深圳市_汽车维修.shp,50,0,0.0,adname,0,45,0,0
深圳市_汽车销售.shp,50,0,0.0,adname,0,43,0,0
深圳市_生活服务.shp,50,0,0.0,adname,0,42,1,1
深圳市_科教文化服务.shp,50,0,0.0,adname,0,43,0,0
深圳市_购物服务.shp,50,0,0.0,adname,0,44,0,0
深圳市_通行设施.shp,50,0,0.0,adname,0,49,0,0
深圳市_道路附属设施.shp,50,0,0.0,adname,0,46,0,2
深圳市_金融保险服务.shp,50,0,0.0,adname,0,45,0,0
深圳市_风景名胜.shp,50,0,0.0,adname,0,45,0,0
深圳市_餐饮服务.shp,50,0,0.0,adname,0,48,0,0
