filename,field,value,count
深圳市_事件活动.shp,大类,事件活动,4
深圳市_交通设施服务.shp,大类,交通设施服务,50
深圳市_住宿服务.shp,大类,住宿服务,50
深圳市_体育休闲服务.shp,大类,体育休闲服务,50
深圳市_公共设施.shp,大类,公共设施,50
深圳市_公司企业.shp,大类,公司企业,50
深圳市_医疗保健服务.shp,大类,医疗保健服务,50
深圳市_商务住宅.shp,大类,商务住宅,50
深圳市_地名地址信息.shp,大类,地名地址信息,50
深圳市_室内设施.shp,大类,室内设施,50
深圳市_摩托车服务.shp,大类,摩托车服务,50
深圳市_政府机构及社会团体.shp,大类,政府机构及社会团体,50
深圳市_汽车服务.shp,大类,汽车服务,50
深圳市_汽车维修.shp,大类,汽车维修,50
深圳市_汽车销售.shp,大类,汽车销售,50
深圳市_生活服务.shp,大类,生活服务,50
深圳市_科教文化服务.shp,大类,科教文化服务,50
深圳市_购物服务.shp,大类,购物服务,50
深圳市_通行设施.shp,大类,通行设施,50
深圳市_道路附属设施.shp,大类,道路附属设施,50
深圳市_金融保险服务.shp,大类,金融保险服务,50
深圳市_风景名胜.shp,大类,风景名胜,50
深圳市_餐饮服务.shp,大类,餐饮服务,50
