中类,小类,count
公司,公司|汽车服务;汽车服务相关;汽车服务相关,12
公司,公司|餐饮服务;餐饮相关场所;餐饮相关,7
公司,公司|餐饮服务;中餐厅;中餐厅,5
公司,公司|汽车维修;汽车维修;汽车维修,4
公司,公司|汽车销售;汽车销售;汽车销售,4
公司,公司|汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;,2
公司,商业贸易|汽车销售;汽车销售;汽车销售,2
公司,广告装饰|餐饮服务;咖啡厅;咖啡厅,1
公司企业,公司企业|汽车销售;汽车销售;汽车销售,1
公司企业,公司企业|汽车服务;汽车服务相关;汽车服务相关,1
公司,网络科技|餐饮服务;咖啡厅;咖啡厅|餐饮服务;甜品店;甜,1
公司,网络科技|餐饮服务;中餐厅;中餐厅,1
公司,网络科技|汽车服务;汽车服务相关;汽车服务相关,1
公司,公司|汽车服务;汽车养护/装饰;汽车养护,1
公司,商业贸易|餐饮服务;餐饮相关场所;餐饮相关,1
公司,商业贸易|汽车服务;汽车服务相关;汽车服务相关,1
公司,公司|餐饮服务;糕饼店;糕饼店,1
公司,公司|餐饮服务;休闲餐饮场所;休闲餐饮场所,1
公司,公司|餐饮服务;中餐厅;中餐厅|生活服务;生活服务场所;,1
公司,公司|汽车销售;宝马特约销售;宝马销售,1
工厂,工厂|汽车服务;汽车配件销售;汽车配件销售,1
