model,year,class,n_grids,area_km2,mean_confidence,gaia_adjusted_n,area_share_percent
rf,2000,farmland,3963,403.1455086706288,0.7296851753983291,1872,20.51318227596231
rf,2000,green_space,11684,1177.439691292913,0.8672171734857346,1457,59.91145749357071
rf,2000,living,1369,140.62999972649374,0.6292822687142519,0,7.155651633998388
rf,2000,missing,7,0.3117713170707806,,0,0.01586380529595542
rf,2000,production,90,9.353074499994086,0.6001886306282637,0,0.47591085087787766
rf,2000,water,2614,234.4196493288464,0.8104196583909764,353,11.92793394029477
rf,2005,farmland,2235,224.93891847679924,0.7355008379617126,932,11.445527573624132
rf,2005,green_space,11063,1113.3270028663956,0.8891700363191795,1510,56.64922280259807
rf,2005,living,3441,352.95131928595873,0.7106890136172754,0,17.95916013284789
rf,2005,missing,4,2.167068884159513e-06,,0,1.1026658630506777e-07
rf,2005,production,830,85.38844172352148,0.6709784233847936,0,4.344805117910999
rf,2005,water,2154,188.6940103162031,0.8296871472744686,248,9.601284262752317
rf,2010,farmland,1161,114.63684310789077,0.6595888891974327,411,5.83304640046057
rf,2010,green_space,10263,1030.08130152588,0.8937456341510395,843,52.413446368130934
rf,2010,living,5427,557.2934771609188,0.742804238128934,0,28.3566663458643
rf,2010,missing,4,2.167068884159513e-06,,0,1.1026658630506777e-07
rf,2010,production,1094,111.59900966616898,0.669439246806175,0,5.678472853753975
rf,2010,water,1778,151.68906120801967,0.803659565061745,131,7.718367921523636
rf,2015,farmland,481,45.420312837030174,0.5824002905468307,197,2.311113819249925
rf,2015,green_space,10198,1013.552868968597,0.8637180275994317,390,51.57243303053599
rf,2015,living,5882,604.1381678166821,0.6987419133809815,0,30.740256532076266
rf,2015,missing,4,2.167068884159513e-06,,0,1.1026658630506777e-07
rf,2015,production,1787,182.29358553597342,0.6733128502595751,0,9.27561257018311
rf,2015,water,1375,119.89475751059547,0.6895795231414891,108,6.100583937688122
rf,2020,farmland,289,26.861450894443273,0.5186579565126883,41,1.366786499027342
rf,2020,green_space,9443,934.8284811676388,0.8422786645496599,501,47.566713800648785
rf,2020,living,7006,718.827371944731,0.7724112679154795,0,36.57596720915051
rf,2020,missing,105,3.5496014678582632,,0,0.18061374950524103
rf,2020,production,2266,231.34939731947014,0.7216930142847784,0,11.7717108452908
rf,2020,water,618,49.883392041805465,0.5623472298172055,135,2.5382078963773242
