source,year,class,area_km2
joint_rf,2000,farmland,403.1455086706288
joint_rf,2000,green_space,1177.439691292913
joint_rf,2000,living,140.62999972649374
joint_rf,2000,production,9.353074499994086
joint_rf,2000,water,234.4196493288464
joint_rf,2005,farmland,224.93891847679924
joint_rf,2005,green_space,1113.3270028663956
joint_rf,2005,living,352.95131928595873
joint_rf,2005,production,85.38844172352148
joint_rf,2005,water,188.6940103162031
joint_rf,2010,farmland,114.63684310789075
joint_rf,2010,green_space,1030.08130152588
joint_rf,2010,living,557.2934771609188
joint_rf,2010,production,111.59900966616898
joint_rf,2010,water,151.68906120801967
joint_rf,2015,farmland,45.420312837030174
joint_rf,2015,green_space,1013.552868968597
joint_rf,2015,living,604.1381678166821
joint_rf,2015,production,182.29358553597345
joint_rf,2015,water,119.89475751059548
joint_rf,2020,farmland,26.861450894443273
joint_rf,2020,green_space,934.8284811676388
joint_rf,2020,living,718.827371944731
joint_rf,2020,production,231.34939731947017
joint_rf,2020,water,49.883392041805465
joint_mlp,2000,farmland,319.26294313369635
joint_mlp,2000,green_space,1247.0604266929558
joint_mlp,2000,living,132.31498104817587
joint_mlp,2000,production,18.927861095085753
joint_mlp,2000,water,247.42171154896243
joint_mlp,2005,farmland,196.67238911933256
joint_mlp,2005,green_space,1126.8097476551495
joint_mlp,2005,living,303.61698244772845
joint_mlp,2005,production,117.0410044629224
joint_mlp,2005,water,221.1595689837453
joint_mlp,2010,farmland,97.30861635503142
joint_mlp,2010,green_space,1062.650922301225
joint_mlp,2010,living,450.0840210456438
joint_mlp,2010,production,186.3070840036735
joint_mlp,2010,water,168.9490489633045
joint_mlp,2015,farmland,39.5830994843499
joint_mlp,2015,green_space,987.5177316731114
joint_mlp,2015,living,532.3918423473131
joint_mlp,2015,production,278.4831780674871
joint_mlp,2015,water,127.32384109661682
joint_mlp,2020,farmland,21.86751975699176
joint_mlp,2020,green_space,942.4848409218564
joint_mlp,2020,living,681.5286423967535
joint_mlp,2020,production,258.1950698995857
joint_mlp,2020,water,57.67402039290138
TCULU_5class,2000,farmland,201.63297353
TCULU_5class,2000,green_space,532.0086603
TCULU_5class,2000,living,382.60283378099996
TCULU_5class,2000,production,37.76522676
TCULU_5class,2000,water,69.11759003
TCULU_5class,2005,farmland,129.30969939
TCULU_5class,2005,green_space,474.5177167
TCULU_5class,2005,living,412.81751644
TCULU_5class,2005,production,109.1571059
TCULU_5class,2005,water,48.96647954
TCULU_5class,2010,farmland,63.076102625999994
TCULU_5class,2010,green_space,450.6809715
TCULU_5class,2010,living,430.92043570699997
TCULU_5class,2010,production,119.7769796
TCULU_5class,2010,water,55.43104525
TCULU_5class,2015,farmland,20.728698197
TCULU_5class,2015,green_space,417.2265997
TCULU_5class,2015,living,423.51629199
TCULU_5class,2015,production,169.0398794
TCULU_5class,2015,water,62.77040377
TCULU_5class,2020,farmland,29.941864864000003
TCULU_5class,2020,green_space,432.9831062
TCULU_5class,2020,living,421.75723372000004
TCULU_5class,2020,production,168.3282545
TCULU_5class,2020,water,21.4398935
