year,class,TCULU_5class,joint_mlp,joint_rf,official_industrial,official_residential,official_commercial
2000,living,382.60283378099996,132.31498104817587,140.62999972649374,,,
2000,production,37.76522676,18.927861095085753,9.353074499994086,,,
2005,living,412.81751644,303.61698244772845,352.95131928595873,,,
2005,production,109.1571059,117.0410044629224,85.38844172352148,,,
2010,living,430.92043570699997,450.0840210456438,557.2934771609188,296.21,213.99,
2010,production,119.7769796,186.3070840036735,111.59900966616898,296.21,213.99,
2015,living,423.51629199,532.3918423473131,604.1381678166821,316.11,242.21,50.69
2015,production,169.0398794,278.4831780674871,182.29358553597345,316.11,242.21,50.69
2020,living,421.75723372000004,681.5286423967535,718.827371944731,273.42,227.48,60.65
2020,production,168.3282545,258.1950698995857,231.34939731947017,273.42,227.48,60.65
