source,year,y,n
manual_2005,2005,living,54
manual_2005,2005,production,41
strong_multisource_2020,2020,farmland,184
strong_multisource_2020,2020,green_space,4332
strong_multisource_2020,2020,living,6228
strong_multisource_2020,2020,production,2344
strong_multisource_2020,2020,water,156
tculu_weak_2000,2000,farmland,1764
tculu_weak_2000,2000,green_space,5239
tculu_weak_2000,2000,living,3822
tculu_weak_2000,2000,production,295
tculu_weak_2000,2000,water,634
tculu_weak_2005,2005,farmland,1051
tculu_weak_2005,2005,green_space,4648
tculu_weak_2005,2005,living,4095
tculu_weak_2005,2005,production,917
tculu_weak_2005,2005,water,424
tculu_weak_2010,2010,farmland,474
tculu_weak_2010,2010,green_space,4385
tculu_weak_2010,2010,living,4063
tculu_weak_2010,2010,production,1015
tculu_weak_2010,2010,water,442
tculu_weak_2015,2015,farmland,160
tculu_weak_2015,2015,green_space,3950
tculu_weak_2015,2015,living,3659
tculu_weak_2015,2015,production,1414
tculu_weak_2015,2015,water,438
