year,class,n_grids,area_km2,mean_final_prob,mean_uncertainty,median_uncertainty,p90_uncertainty,gaia_adjusted_pct
2000,farmland,3145,319.26294313369635,0.3779347017373531,0.6220652982626469,0.6774193548387097,0.9620637329286799,36.91573926868045
2000,green_space,12374,1247.0604266929558,0.762372671268428,0.23762732873157205,0.07115384615384612,0.907608695652174,14.352674963633424
2000,living,1284,132.31498104817587,0.7471925069183163,0.2528074930816838,0.23758865248226946,0.41721854304635764,0.0
2000,missing,0,0.0,,,,,0.0
2000,production,184,18.927861095085753,0.43865742786355416,0.5613425721364458,0.5988700564971752,0.7106017191977078,0.0
2000,water,2733,247.42171154896243,0.6199044075360073,0.3800955924639928,0.18055555555555558,0.9906553297567757,25.57628979143798
2005,farmland,1948,196.67238911933254,0.350963906333563,0.649036093666437,0.6774193548387097,0.9826086956521739,33.67556468172484
2005,green_space,11211,1126.8097476551497,0.7662649700873705,0.23373502991262946,0.07115384615384612,0.9395973154362416,13.031843724913031
2005,living,2958,303.61698244772845,0.7385292001933221,0.26147079980667803,0.2479338842975206,0.41721854304635764,0.0
2005,missing,0,0.0,,,,,0.0
2005,production,1139,117.04100446292239,0.40436310671324927,0.5956368932867507,0.5988700564971752,0.7106017191977078,0.0
2005,water,2467,221.15956898374526,0.6135621469341612,0.38643785306583883,0.18055555555555558,0.9929660023446659,25.25334414268342
2010,farmland,973,97.30861635503142,0.3733158323393884,0.6266841676606116,0.6153846153846154,0.9621621621621621,27.543679342240495
2010,green_space,10595,1062.650922301225,0.8181775799760755,0.18182242002392446,0.04166666666666663,0.5688073394495412,8.29636621047664
2010,living,4377,450.0840210456438,0.7530155317664702,0.24698446823352987,0.23758865248226946,0.3481781376518218,0.0
2010,missing,0,0.0,,,,,0.0
2010,production,1824,186.30708400367354,0.40782327653314704,0.5921767234668531,0.5988700564971752,0.7106017191977078,0.0
2010,water,1954,168.94904896330453,0.6886650242566107,0.31133497574338936,0.18055555555555558,0.9455782312925171,14.73899692937564
2015,farmland,412,39.5830994843499,0.40840113547637574,0.5915988645236242,0.6111111111111112,0.9848101265822785,28.640776699029125
2015,green_space,9917,987.5177316731114,0.8671080509848935,0.1328919490151067,0.02777777777777779,0.4108527131782945,4.5376625995764845
2015,living,5172,532.3918423473131,0.8063712998906478,0.1936287001093522,0.19409282700421937,0.33005464480874314,0.0
2015,missing,0,0.0,,,,,0.0
2015,production,2738,278.4831780674871,0.48283432567861406,0.517165674321386,0.5275590551181102,0.7106017191977078,0.0
2015,water,1484,127.32384109661682,0.6654936398433717,0.3345063601566283,0.1875,0.6709677419354838,10.040431266846362
2020,farmland,221,21.867519756991758,0.5489414099847754,0.4510585900152247,0.3955223880597015,0.865546218487395,14.93212669683258
2020,green_space,9514,942.4848409218564,0.8148025055700655,0.18519749442993455,0.07115384615384612,0.5688073394495412,8.576834139163338
2020,living,6624,681.5286423967535,0.8372211876353388,0.1627788123646611,0.12457912457912457,0.33005464480874314,0.0
2020,missing,0,0.0,,,,,0.0
2020,production,2540,258.1950698995857,0.521738386124793,0.47826161387520705,0.46153846153846156,0.7030567685589519,0.0
2020,water,723,57.67402039290138,0.6438817796130835,0.3561182203869165,0.18055555555555558,0.9961288047309215,21.715076071922546
