grid_id,poi_label,poi_source_weight,poi_label_confidence,euluc_label,euluc_source_weight,euluc_label_confidence,tculu_label,tculu_source_weight,tculu_label_confidence,fused_label,fused_confidence,source_count,agreement_count,sample_weight,fusion_status
0,living,0.6,0.41812613109127833,living,0.8,1.0,living,0.6129614438063987,0.7662018047579984,living,1.0,3,3,2.616849876948318,consensus
1,living,0.6,0.5097165488703455,living,0.8,1.0,living,0.5270358306188925,0.6587947882736156,living,1.0,3,3,2.5051465798045602,consensus
2,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
3,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
4,living,1.0,0.7244898945443251,green_space,0.8,1.0,living,0.47166123778501634,0.5895765472312704,living,0.6478348150272439,3,2,1.6924104234527686,consensus
5,,0.0,0.0,,,,green_space,0.7693811074918567,0.9617263843648208,green_space,1.0,1,1,0.7693811074918567,single_source
6,living,1.0,0.6007315940358181,,,,,0.0,0.0,living,1.0,1,1,1.0,single_source
7,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
8,,0.0,0.0,,,,living,0.563740771123872,0.70467596390484,living,1.0,1,1,0.563740771123872,single_source
9,,0.0,0.0,,,,green_space,0.4348111658456486,0.5435139573070608,green_space,1.0,1,1,0.4348111658456486,single_source
10,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
11,living,1.0,0.887500049333522,,,,production,0.9555194805194804,0.7962662337662337,living,0.5113730698987216,2,1,1.0,single_source
12,,0.0,0.0,,,,green_space,0.5826439578264396,0.7283049472830495,green_space,1.0,1,1,0.5826439578264396,single_source
13,living,0.6,0.40310438917059327,living,0.8,1.0,living,0.7465362673186635,0.9331703341483293,living,1.0,3,3,2.7904971475142624,consensus
14,,0.0,0.37940750458780886,living,0.8,1.0,living,0.7263843648208469,0.9079804560260586,living,1.0,2,2,1.755342019543974,consensus
15,,0.0,0.0,,,,green_space,0.6945990180032733,0.8682487725040916,green_space,1.0,1,1,0.6945990180032733,single_source
16,,0.0,0.0,,,,production,0.8780157835400225,0.7316798196166855,production,1.0,1,1,0.8780157835400225,single_source
17,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
18,living,1.0,0.6693426447484601,,,,,0.0,0.0,living,1.0,1,1,1.0,single_source
19,,0.0,0.0,,,,green_space,0.8,1.0,green_space,1.0,1,1,0.8,single_source
20,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
21,living,0.6,0.41012105918805963,living,0.8,1.0,,0.0,0.0,living,1.0,2,2,1.6099999999999999,consensus
22,production,0.6,0.40381089985969565,,,,living,0.4823529411764706,0.6029411764705882,production,0.5543478260869565,2,1,0.6,single_source
23,living,0.6,0.5899746385340069,living,0.8,1.0,,0.0,0.0,living,1.0,2,2,1.6099999999999999,consensus
24,,0.0,0.0,,,,,0.0,0.0,,0.0,0,0,0.0,no_label
25,living,0.6,0.5994982763119692,living,0.8,1.0,living,0.48613376835236544,0.6076672104404568,living,1.0,3,3,2.451973898858075,consensus
