year,class,area_km2,share_percent
2000,ecological,1267.4097,64.4894
2000,living,670.8268,34.1336
2000,production,26.7514,1.3612
2000,missing,0.3118,0.0159
2005,ecological,1066.0171,54.242
2005,living,794.2105,40.4117
2005,production,105.0721,5.3464
2005,missing,0.0,0.0
2010,ecological,880.0817,44.781
2010,living,976.4446,49.6843
2010,production,108.7734,5.5347
2010,missing,0.0,0.0
2015,ecological,772.0367,39.2834
2015,living,991.2341,50.4368
2015,production,202.029,10.2798
2015,missing,0.0,0.0
2020,ecological,716.4427,36.4546
2020,living,1000.7771,50.9224
2020,production,244.5304,12.4424
2020,missing,3.5496,0.1806
