feature,importance
NDBI_max,0.06437162084820887
SR_B7_mean,0.03208871662814189
SR_B7_max,0.028893298667580163
SR_B6_min,0.027007595685553963
SR_B5_min,0.026762409285673278
SR_B7_median,0.026688516507136686
SR_B6_mean,0.02632450630582129
SR_B6_median,0.025491669757941194
NDBI_median,0.024905873804095913
NDBI_stdDev,0.0208893225363876
SR_B3_max,0.019966865007344087
MNDWI_median,0.019858759292066534
SR_B2_max,0.01967145925047664
NDBI_mean,0.018728092145965727
LST_mean,0.018236546493112862
MNDWI_max,0.01804330549922696
NBI_median,0.01786404535872191
MNDWI_mean,0.017779309556151528
LST_median,0.017578420895132608
SR_B3_min,0.01651911828096658
SR_B7_min,0.016318871138418373
LST_max,0.01554370454203329
MNDWI_stdDev,0.015364212680482298
NDVI_median,0.014049649288783734
SR_B2_median,0.013734733018201422
NBI_mean,0.013663470819299257
SR_B3_mean,0.013624522946662774
SR_B4_min,0.013234457395682554
NBI_stdDev,0.01302127771244702
NBI_max,0.012915909379879277
SR_B6_stdDev,0.012596350211040016
SR_B2_stdDev,0.012489654467816271
SR_B2_mean,0.012347301031065846
NDVI_stdDev,0.012313709257781169
SR_B4_max,0.012211326030906753
SR_B4_median,0.012099916919347387
MNDWI_min,0.012086082110639487
SR_B2_min,0.012019219059994937
NDVI_min,0.01196197723860845
LST_min,0.011806585436862733
SR_B6_max,0.011740844115335384
SR_B3_stdDev,0.011705902518002513
SR_B7_stdDev,0.011700390624969966
NDVI_mean,0.011593542277706382
SR_B5_mean,0.011558409694472334
SR_B3_median,0.011530422049696076
SR_B4_stdDev,0.011212248329840318
slope_median,0.011190668282365212
SR_B4_mean,0.010837852533273844
DEM_mean,0.010700817269079808
SR_B5_median,0.01061355153285899
SR_B5_max,0.010375174759025373
SR_B5_stdDev,0.010252760251268074
LST_stdDev,0.010201977855033536
slope_stdDev,0.00977559725648576
NBI_min,0.009695779690749739
NDVI_max,0.009525573756119992
slope_max,0.009454571747833708
DEM_median,0.009440346440667746
slope_mean,0.009435064898109134
DEM_min,0.008900396788612248
NDBI_min,0.008859269023011866
DEM_stdDev,0.008790915275724663
DEM_max,0.008390802668135687
slope_min,0.0014447378699623354
