grid_id,y,sample_weight,source
15690,living,1.0,poi_2020
4786,living,1.0,poi_2020
4968,living,1.0,poi_2020
17773,living,1.0,poi_2020
13207,living,1.0,poi_2020
12215,living,1.0,poi_2020
13626,living,1.0,poi_2020
13790,living,1.0,poi_2020
15650,production,1.0,poi_2020
15775,living,1.0,poi_2020
4525,living,1.0,poi_2020
8393,living,1.0,poi_2020
11042,living,1.0,poi_2020
13846,living,1.0,poi_2020
3610,living,1.0,poi_2020
4305,living,1.0,poi_2020
16266,living,1.0,poi_2020
16675,living,1.0,poi_2020
18295,living,1.0,poi_2020
7795,living,1.0,poi_2020
10425,living,1.0,poi_2020
11313,living,1.0,poi_2020
12225,living,1.0,poi_2020
14417,living,1.0,poi_2020
1605,living,1.0,poi_2020
1907,living,1.0,poi_2020
3712,production,1.0,poi_2020
18498,living,1.0,poi_2020
8348,living,1.0,poi_2020
9536,living,1.0,poi_2020
9552,living,1.0,poi_2020
10752,living,1.0,poi_2020
11266,living,1.0,poi_2020
11559,living,1.0,poi_2020
11748,living,1.0,poi_2020
11876,living,1.0,poi_2020
13765,living,1.0,poi_2020
14521,living,1.0,poi_2020
15985,living,1.0,poi_2020
1530,living,1.0,poi_2020
2262,living,1.0,poi_2020
4616,living,1.0,poi_2020
6334,living,1.0,poi_2020
6562,production,1.0,poi_2020
17684,living,1.0,poi_2020
8548,living,1.0,poi_2020
8819,living,1.0,poi_2020
10245,living,1.0,poi_2020
12739,living,1.0,poi_2020
13169,living,1.0,poi_2020
13273,living,1.0,poi_2020
13598,living,1.0,poi_2020
15617,living,1.0,poi_2020
1188,living,1.0,poi_2020
3961,living,1.0,poi_2020
6665,living,1.0,poi_2020
16463,living,1.0,poi_2020
16721,living,1.0,poi_2020
16834,living,1.0,poi_2020
16913,living,1.0,poi_2020
18657,living,1.0,poi_2020
19334,living,1.0,poi_2020
9893,living,1.0,poi_2020
10309,living,1.0,poi_2020
13562,living,1.0,poi_2020
13828,living,1.0,poi_2020
13836,living,1.0,poi_2020
14993,living,1.0,poi_2020
611,living,1.0,poi_2020
2462,living,1.0,poi_2020
3132,living,1.0,poi_2020
5722,living,1.0,poi_2020
18209,living,1.0,poi_2020
18423,living,1.0,poi_2020
7139,living,1.0,poi_2020
11844,living,1.0,poi_2020
12715,living,1.0,poi_2020
13906,living,1.0,poi_2020
15447,living,1.0,poi_2020
15803,living,1.0,poi_2020
537,living,1.0,poi_2020
628,living,1.0,poi_2020
702,living,1.0,poi_2020
2933,living,1.0,poi_2020
16443,living,1.0,poi_2020
18226,living,1.0,poi_2020
7448,living,1.0,poi_2020
8372,living,1.0,poi_2020
9456,living,1.0,poi_2020
10033,living,1.0,poi_2020
12613,living,1.0,poi_2020
12749,living,1.0,poi_2020
12963,living,1.0,poi_2020
13081,living,1.0,poi_2020
14248,living,1.0,poi_2020
14929,living,1.0,poi_2020
15056,living,1.0,poi_2020
16206,living,1.0,poi_2020
180,living,1.0,poi_2020
428,living,1.0,poi_2020
2056,living,1.0,poi_2020
4010,living,1.0,poi_2020
16332,living,1.0,poi_2020
16960,living,1.0,poi_2020
17473,living,1.0,poi_2020
17991,living,1.0,poi_2020
18228,living,1.0,poi_2020
7429,living,1.0,poi_2020
11591,living,1.0,poi_2020
15613,living,1.0,poi_2020
230,living,1.0,poi_2020
1093,living,1.0,poi_2020
3926,living,1.0,poi_2020
3943,living,1.0,poi_2020
5644,living,1.0,poi_2020
17612,living,1.0,poi_2020
17772,living,1.0,poi_2020
18593,living,1.0,poi_2020
7044,living,1.0,poi_2020
9715,living,1.0,poi_2020
9874,living,1.0,poi_2020
10765,living,1.0,poi_2020
11689,living,1.0,poi_2020
11862,living,1.0,poi_2020
12676,living,1.0,poi_2020
13465,living,1.0,poi_2020
15179,living,1.0,poi_2020
15262,living,1.0,poi_2020
15265,living,1.0,poi_2020
16107,living,1.0,poi_2020
16176,living,1.0,poi_2020
1262,living,1.0,poi_2020
1326,living,1.0,poi_2020
1954,living,1.0,poi_2020
3287,living,1.0,poi_2020
4933,living,1.0,poi_2020
16867,living,1.0,poi_2020
16889,living,1.0,poi_2020
18737,living,1.0,poi_2020
18755,living,1.0,poi_2020
19099,living,1.0,poi_2020
7179,living,1.0,poi_2020
7481,living,1.0,poi_2020
7518,living,1.0,poi_2020
7568,living,1.0,poi_2020
7987,living,1.0,poi_2020
11858,living,1.0,poi_2020
13181,living,1.0,poi_2020
13462,living,1.0,poi_2020
14557,living,1.0,poi_2020
14942,living,1.0,poi_2020
15348,living,1.0,poi_2020
15711,living,1.0,poi_2020
15950,living,1.0,poi_2020
16190,living,1.0,poi_2020
4,living,1.0,poi_2020
1305,living,1.0,poi_2020
2687,living,1.0,poi_2020
5718,living,1.0,poi_2020
5990,living,1.0,poi_2020
7511,living,1.0,poi_2020
9415,living,1.0,poi_2020
9458,living,1.0,poi_2020
12285,living,1.0,poi_2020
12437,living,1.0,poi_2020
13406,living,1.0,poi_2020
787,living,1.0,poi_2020
1070,living,1.0,poi_2020
1124,living,1.0,poi_2020
1162,living,1.0,poi_2020
1725,living,1.0,poi_2020
2379,living,1.0,poi_2020
3407,living,1.0,poi_2020
6718,production,1.0,poi_2020
17716,living,1.0,poi_2020
18668,living,1.0,poi_2020
18770,living,1.0,poi_2020
7368,living,1.0,poi_2020
8738,living,1.0,poi_2020
9077,living,1.0,poi_2020
9717,living,1.0,poi_2020
11160,living,1.0,poi_2020
12066,living,1.0,poi_2020
14759,living,1.0,poi_2020
15802,living,1.0,poi_2020
530,living,1.0,poi_2020
1123,living,1.0,poi_2020
1597,living,1.0,poi_2020
1615,living,1.0,poi_2020
4660,living,0.6,poi_2020
4796,living,1.0,poi_2020
6791,production,1.0,poi_2020
6872,living,1.0,poi_2020
16302,living,1.0,poi_2020
17270,living,1.0,poi_2020
17448,living,1.0,poi_2020
19467,living,1.0,poi_2020
7989,living,1.0,poi_2020
8066,living,1.0,poi_2020
9710,living,1.0,poi_2020
10374,living,1.0,poi_2020
10435,living,1.0,poi_2020
10793,living,1.0,poi_2020
10901,living,1.0,poi_2020
12788,living,1.0,poi_2020
13670,living,1.0,poi_2020
15679,living,1.0,poi_2020
194,living,1.0,poi_2020
3208,living,1.0,poi_2020
5569,living,1.0,poi_2020
16511,living,1.0,poi_2020
18052,living,1.0,poi_2020
7237,living,1.0,poi_2020
8573,living,1.0,poi_2020
10199,living,1.0,poi_2020
10431,living,1.0,poi_2020
13484,production,1.0,poi_2020
14668,living,0.6,poi_2020
14721,living,1.0,poi_2020
14756,living,1.0,poi_2020
15233,living,1.0,poi_2020
1129,living,1.0,poi_2020
3145,living,1.0,poi_2020
3442,living,1.0,poi_2020
4353,living,1.0,poi_2020
6141,living,0.6,poi_2020
17560,living,0.6,poi_2020
17648,living,1.0,poi_2020
17945,living,1.0,poi_2020
18245,living,1.0,poi_2020
18277,living,1.0,poi_2020
18376,living,1.0,poi_2020
7559,living,1.0,poi_2020
8254,living,1.0,poi_2020
8260,living,1.0,poi_2020
9644,living,1.0,poi_2020
9913,living,1.0,poi_2020
11120,living,1.0,poi_2020
12421,living,1.0,poi_2020
12532,living,1.0,poi_2020
12655,living,1.0,poi_2020
15320,living,1.0,poi_2020
15530,living,1.0,poi_2020
1392,living,1.0,poi_2020
1475,living,1.0,poi_2020
2801,living,1.0,poi_2020
3076,living,1.0,poi_2020
3162,living,1.0,poi_2020
4079,living,1.0,poi_2020
4497,living,1.0,poi_2020
16637,living,1.0,poi_2020
16864,living,1.0,poi_2020
17129,living,1.0,poi_2020
18300,living,1.0,poi_2020
18764,living,1.0,poi_2020
8756,living,1.0,poi_2020
9530,living,1.0,poi_2020
9582,living,1.0,poi_2020
11310,living,1.0,poi_2020
11710,living,1.0,poi_2020
12249,living,1.0,poi_2020
12610,living,1.0,poi_2020
12985,living,1.0,poi_2020
14887,living,1.0,poi_2020
2637,living,1.0,poi_2020
2787,living,1.0,poi_2020
3224,living,1.0,poi_2020
4739,living,0.6,poi_2020
16792,living,1.0,poi_2020
7054,living,1.0,poi_2020
8872,living,1.0,poi_2020
11307,living,1.0,poi_2020
11805,living,0.6,poi_2020
12832,living,1.0,poi_2020
14226,living,1.0,poi_2020
14892,living,0.6,poi_2020
590,living,0.6,poi_2020
975,living,1.0,poi_2020
1425,living,1.0,poi_2020
1449,production,1.0,poi_2020
3049,living,1.0,poi_2020
5479,living,1.0,poi_2020
6309,living,1.0,poi_2020
6984,living,0.6,poi_2020
7766,living,1.0,poi_2020
8577,living,1.0,poi_2020
8700,living,1.0,poi_2020
10160,production,1.0,poi_2020
10537,production,1.0,poi_2020
11752,living,1.0,poi_2020
11764,living,1.0,poi_2020
12298,living,0.6,poi_2020
13414,living,0.6,poi_2020
13658,living,1.0,poi_2020
13957,living,1.0,poi_2020
15352,living,1.0,poi_2020
1785,living,1.0,poi_2020
2328,living,1.0,poi_2020
3366,living,1.0,poi_2020
5959,living,1.0,poi_2020
17851,living,1.0,poi_2020
19258,living,1.0,poi_2020
19592,production,0.6,poi_2020
8008,living,1.0,poi_2020
9043,living,1.0,poi_2020
12447,living,1.0,poi_2020
14694,living,1.0,poi_2020
15374,living,1.0,poi_2020
15389,living,1.0,poi_2020
16017,living,1.0,poi_2020
113,living,1.0,poi_2020
1643,living,1.0,poi_2020
2014,living,1.0,poi_2020
2999,living,1.0,poi_2020
4487,living,1.0,poi_2020
4530,living,1.0,poi_2020
6154,living,1.0,poi_2020
16563,living,1.0,poi_2020
16672,living,1.0,poi_2020
17266,living,1.0,poi_2020
18050,living,1.0,poi_2020
18662,living,1.0,poi_2020
11787,living,1.0,poi_2020
12148,living,0.6,poi_2020
12863,living,1.0,poi_2020
14294,living,1.0,poi_2020
14531,production,1.0,poi_2020
15060,living,1.0,poi_2020
15370,living,1.0,poi_2020
15386,living,1.0,poi_2020
15798,living,1.0,poi_2020
1406,living,1.0,poi_2020
2738,living,1.0,poi_2020
2889,living,1.0,poi_2020
2962,living,1.0,poi_2020
3744,living,1.0,poi_2020
5175,living,1.0,poi_2020
5591,living,1.0,poi_2020
16484,living,1.0,poi_2020
18162,living,1.0,poi_2020
18710,living,1.0,poi_2020
18724,living,0.6,poi_2020
19487,living,0.6,poi_2020
7992,living,1.0,poi_2020
8064,living,1.0,poi_2020
8411,living,1.0,poi_2020
9944,living,0.6,poi_2020
10699,living,0.6,poi_2020
13194,living,1.0,poi_2020
15148,living,0.6,poi_2020
75,living,1.0,poi_2020
2798,living,1.0,poi_2020
3121,living,0.6,poi_2020
3461,living,1.0,poi_2020
4563,living,1.0,poi_2020
7248,production,1.0,poi_2020
7274,living,1.0,poi_2020
8540,living,1.0,poi_2020
8788,living,0.6,poi_2020
9144,living,1.0,poi_2020
9277,living,1.0,poi_2020
11094,living,0.6,poi_2020
12276,living,0.6,poi_2020
2745,living,1.0,poi_2020
3777,living,0.6,poi_2020
5861,living,0.6,poi_2020
16999,living,1.0,poi_2020
18792,living,1.0,poi_2020
7748,living,1.0,poi_2020
7901,living,1.0,poi_2020
8467,living,1.0,poi_2020
8841,living,1.0,poi_2020
9245,living,1.0,poi_2020
9699,living,1.0,poi_2020
9929,production,1.0,poi_2020
10028,living,1.0,poi_2020
11223,living,1.0,poi_2020
12266,living,1.0,poi_2020
13022,living,1.0,poi_2020
13216,living,1.0,poi_2020
13570,living,1.0,poi_2020
15948,living,1.0,poi_2020
484,living,1.0,poi_2020
1313,living,1.0,poi_2020
1505,living,1.0,poi_2020
2996,living,1.0,poi_2020
4089,living,1.0,poi_2020
5816,living,1.0,poi_2020
6624,living,1.0,poi_2020
6725,living,1.0,poi_2020
6873,living,1.0,poi_2020
16462,living,0.6,poi_2020
17265,living,1.0,poi_2020
19127,living,1.0,poi_2020
8943,living,1.0,poi_2020
11097,living,1.0,poi_2020
11382,living,1.0,poi_2020
11765,living,1.0,poi_2020
12322,living,0.6,poi_2020
12514,living,1.0,poi_2020
12526,living,1.0,poi_2020
13536,living,1.0,poi_2020
14289,living,1.0,poi_2020
15094,living,0.6,poi_2020
276,living,1.0,poi_2020
2260,living,1.0,poi_2020
3533,living,0.6,poi_2020
4686,living,1.0,poi_2020
4807,living,0.6,poi_2020
6268,production,1.0,poi_2020
6579,living,1.0,poi_2020
16734,living,1.0,poi_2020
17959,living,1.0,poi_2020
18170,living,1.0,poi_2020
7860,living,1.0,poi_2020
8947,living,0.6,poi_2020
9410,living,0.6,poi_2020
9634,living,1.0,poi_2020
11457,living,1.0,poi_2020
13006,living,1.0,poi_2020
15588,living,1.0,poi_2020
1645,living,1.0,poi_2020
4766,living,1.0,poi_2020
5502,living,0.6,poi_2020
6189,living,1.0,poi_2020
16331,living,0.6,poi_2020
6895,living,1.0,poi_2020
7060,living,1.0,poi_2020
7221,living,1.0,poi_2020
8439,living,1.0,poi_2020
8834,living,1.0,poi_2020
13105,living,1.0,poi_2020
1684,living,0.6,poi_2020
2102,living,1.0,poi_2020
4291,living,1.0,poi_2020
6817,living,1.0,poi_2020
18430,living,1.0,poi_2020
19460,living,1.0,poi_2020
19500,living,0.6,poi_2020
8271,living,1.0,poi_2020
8506,living,1.0,poi_2020
8916,living,1.0,poi_2020
9832,living,1.0,poi_2020
9902,living,0.6,poi_2020
10214,living,1.0,poi_2020
10349,living,1.0,poi_2020
10694,living,1.0,poi_2020
11014,living,1.0,poi_2020
11625,living,1.0,poi_2020
11852,living,0.6,poi_2020
14397,living,0.6,poi_2020
14413,living,1.0,poi_2020
14924,living,1.0,poi_2020
15980,living,0.6,poi_2020
1373,living,1.0,poi_2020
1869,living,0.6,poi_2020
2282,living,1.0,poi_2020
2854,living,1.0,poi_2020
3212,living,1.0,poi_2020
3773,living,0.6,poi_2020
4299,living,1.0,poi_2020
5840,living,0.6,poi_2020
5910,living,0.6,poi_2020
17418,living,1.0,poi_2020
17903,living,1.0,poi_2020
18571,living,0.6,poi_2020
11258,living,1.0,poi_2020
12102,living,1.0,poi_2020
965,living,1.0,poi_2020
1394,living,1.0,poi_2020
1776,living,1.0,poi_2020
16751,living,1.0,poi_2020
17163,living,1.0,poi_2020
18003,living,1.0,poi_2020
18541,living,1.0,poi_2020
19335,living,1.0,poi_2020
19717,living,1.0,poi_2020
8243,production,1.0,poi_2020
8522,living,1.0,poi_2020
10396,living,1.0,poi_2020
11244,living,0.6,poi_2020
11806,living,1.0,poi_2020
15966,living,1.0,poi_2020
16003,living,1.0,poi_2020
16162,living,1.0,poi_2020
16169,living,1.0,poi_2020
355,living,1.0,poi_2020
471,living,1.0,poi_2020
5443,living,0.6,poi_2020
16305,living,1.0,poi_2020
17585,living,1.0,poi_2020
18023,production,1.0,poi_2020
7994,living,1.0,poi_2020
9461,living,0.6,poi_2020
11319,living,1.0,poi_2020
4056,living,1.0,poi_2020
4108,living,0.6,poi_2020
4356,living,1.0,poi_2020
16259,living,1.0,poi_2020
18138,living,1.0,poi_2020
9320,living,1.0,poi_2020
9370,living,1.0,poi_2020
15411,living,1.0,poi_2020
15867,living,1.0,poi_2020
451,living,0.6,poi_2020
511,living,0.6,poi_2020
1223,living,0.6,poi_2020
2708,living,1.0,poi_2020
17475,living,1.0,poi_2020
17721,living,1.0,poi_2020
18606,living,1.0,poi_2020
18667,living,0.6,poi_2020
18953,living,1.0,poi_2020
9090,living,1.0,poi_2020
10473,living,1.0,poi_2020
13407,living,1.0,poi_2020
364,living,1.0,poi_2020
434,living,1.0,poi_2020
1877,living,1.0,poi_2020
2972,living,1.0,poi_2020
5971,living,1.0,poi_2020
6084,living,1.0,poi_2020
16316,living,1.0,poi_2020
17489,living,1.0,poi_2020
18278,living,1.0,poi_2020
8793,living,0.6,poi_2020
9261,living,1.0,poi_2020
9575,living,1.0,poi_2020
10592,living,1.0,poi_2020
11282,living,0.6,poi_2020
12995,living,1.0,poi_2020
14968,living,1.0,poi_2020
15188,living,0.6,poi_2020
1246,living,1.0,poi_2020
