year,class_code,class_name,pixel_count,area_raw_km2,area_km2,area_share_percent
2000,1,water,811846,81.1846,69.11759003,5.204941586
2000,2,green_space,6249544,624.9544,532.0086603,40.06323136
2000,3,farmland,2176248,217.6248,185.1614185,13.94369171
2000,4,bare_land,193384,19.3384,16.47155503,1.240400334
2000,5,residential,4449751,444.9751,378.9478632,28.5368962
2000,6,commercial,3399,0.3399,0.289930724,0.021833407
2000,7,institutional,39467,3.9467,3.365039857,0.253406345
2000,8,industrial,443412,44.3412,37.76522676,2.843933059
2000,9,transport,1230364,123.0364,104.7952079,7.891666004
2005,1,water,575044,57.5044,48.96647954,3.687450121
2005,2,green_space,5574222,557.4222,474.5177167,35.73384136
2005,3,farmland,1277390,127.739,108.6998384,8.185706545
2005,4,bare_land,242041,24.2041,20.60986099,1.552037948
2005,5,residential,4730243,473.0243,402.7720468,30.33099064
2005,6,commercial,33782,3.3782,2.87742849,0.216686479
2005,7,institutional,84060,8.406,7.16804115,0.539793639
2005,8,industrial,1282321,128.2321,109.1571059,8.220141355
2005,9,transport,1798312,179.8312,153.1539742,11.53335192
2010,1,water,651026,65.1026,55.43104525,4.17426812
2010,2,green_space,5294131,529.4131,450.6809715,33.93880096
2010,3,farmland,697260,69.726,59.32876697,4.467788393
2010,4,bare_land,43981,4.3981,3.747335656,0.28219536
2010,5,residential,4609394,460.9394,392.4366907,29.55268045
2010,6,commercial,94134,9.4134,8.023045507,0.604180256
2010,7,institutional,357539,35.7539,30.4606995,2.293861252
2010,8,industrial,1407128,140.7128,119.7769796,9.019877314
2010,9,transport,2442822,244.2822,208.0369574,15.66634789
2015,1,water,737344,73.7344,62.77040377,4.726962917
2015,2,green_space,4901056,490.1056,417.2265997,31.41949942
2015,3,farmland,228707,22.8707,19.45323639,1.464937638
2015,4,bare_land,14982,1.4982,1.275461807,0.096049417
2015,5,residential,4052544,405.2544,345.0362189,25.98315948
2015,6,commercial,376772,37.6772,32.11129198,2.418160109
2015,7,institutional,544354,54.4354,46.36878111,3.491828882
2015,8,industrial,1986307,198.6307,169.0398794,12.72964954
2015,9,transport,2755349,275.5349,234.6406191,17.6697526
2020,1,water,251767,25.1767,21.4398935,1.614544044
2020,2,green_space,5086126,508.6126,432.9831062,32.60605259
2020,3,farmland,332711,33.2711,28.30075241,2.13120514
2020,4,bare_land,19272,1.9272,1.641112454,0.123584958
2020,5,residential,3679410,367.941,313.2788479,23.5916516
2020,6,commercial,610736,61.0736,52.03286535,3.918366144
2020,7,institutional,662723,66.2723,56.44552047,4.250663785
2020,8,industrial,1978022,197.8022,168.3282545,12.6760602
2020,9,transport,2976648,297.6648,253.4721394,19.08787154
2024,1,water,313132,31.3132,26.66409697,2.007955821
2024,2,green_space,5028303,502.8303,428.0671969,32.23585709
2024,3,farmland,326909,32.6909,27.80727681,2.094043664
2024,4,bare_land,4931,0.4931,0.419769664,0.031611006
2024,5,residential,3390067,339.0067,288.646891,21.73672731
2024,6,commercial,726392,72.6392,61.8724946,4.659345328
2024,7,institutional,846011,84.6011,72.04009297,5.425022424
2024,8,industrial,1869660,186.966,159.1139732,11.98217322
2024,9,transport,3092010,309.201,263.2907001,19.82726414
