year,class,rf_grid_count,tculu_ref_grid_count
2000,ecological,12874.0,8406
2000,living,6587.0,4371
2000,production,259.0,438
2000,tculu_unassigned_or_ambiguous,,6512
2005,ecological,10914.0,6945
2005,living,7785.0,4935
2005,production,1024.0,1328
2005,tculu_unassigned_or_ambiguous,,6519
2010,ecological,9100.0,6314
2010,living,9557.0,5460
2010,production,1066.0,1456
2010,tculu_unassigned_or_ambiguous,,6497
2015,ecological,8046.0,5522
2015,living,9719.0,5578
2015,production,1958.0,2132
2015,tculu_unassigned_or_ambiguous,,6495
2020,ecological,7437.0,5387
2020,living,9812.0,5682
2020,production,2373.0,2163
2020,tculu_unassigned_or_ambiguous,,6495
