year,source,class,pixel_count
2000,TCULU_fine_grid_count_raw,water,811846
2000,TCULU_fine_grid_count_raw,green_space,6249544
2000,TCULU_fine_grid_count_raw,farmland,2176248
2000,TCULU_fine_grid_count_raw,bare_land,193384
2000,TCULU_fine_grid_count_raw,residential,4449751
2000,TCULU_fine_grid_count_raw,commercial,3399
2000,TCULU_fine_grid_count_raw,institutional,39467
2000,TCULU_fine_grid_count_raw,industrial,443412
2000,TCULU_fine_grid_count_raw,transport,1230364
2000,TCULU_PLES_strict_grid_count_raw,ecological,9237638
2000,TCULU_PLES_strict_grid_count_raw,living,4492617
2000,TCULU_PLES_strict_grid_count_raw,production,443412
2005,TCULU_fine_grid_count_raw,water,575044
2005,TCULU_fine_grid_count_raw,green_space,5574222
2005,TCULU_fine_grid_count_raw,farmland,1277390
2005,TCULU_fine_grid_count_raw,bare_land,242041
2005,TCULU_fine_grid_count_raw,residential,4730243
2005,TCULU_fine_grid_count_raw,commercial,33782
2005,TCULU_fine_grid_count_raw,institutional,84060
2005,TCULU_fine_grid_count_raw,industrial,1282321
2005,TCULU_fine_grid_count_raw,transport,1798312
2005,TCULU_PLES_strict_grid_count_raw,ecological,7426656
2005,TCULU_PLES_strict_grid_count_raw,living,4848085
2005,TCULU_PLES_strict_grid_count_raw,production,1282321
2010,TCULU_fine_grid_count_raw,water,651026
2010,TCULU_fine_grid_count_raw,green_space,5294131
2010,TCULU_fine_grid_count_raw,farmland,697260
2010,TCULU_fine_grid_count_raw,bare_land,43981
2010,TCULU_fine_grid_count_raw,residential,4609394
2010,TCULU_fine_grid_count_raw,commercial,94134
2010,TCULU_fine_grid_count_raw,institutional,357539
2010,TCULU_fine_grid_count_raw,industrial,1407128
2010,TCULU_fine_grid_count_raw,transport,2442822
2010,TCULU_PLES_strict_grid_count_raw,ecological,6642417
2010,TCULU_PLES_strict_grid_count_raw,living,5061067
2010,TCULU_PLES_strict_grid_count_raw,production,1407128
2015,TCULU_fine_grid_count_raw,water,737344
2015,TCULU_fine_grid_count_raw,green_space,4901056
2015,TCULU_fine_grid_count_raw,farmland,228707
2015,TCULU_fine_grid_count_raw,bare_land,14982
2015,TCULU_fine_grid_count_raw,residential,4052544
2015,TCULU_fine_grid_count_raw,commercial,376772
2015,TCULU_fine_grid_count_raw,institutional,544354
2015,TCULU_fine_grid_count_raw,industrial,1986307
2015,TCULU_fine_grid_count_raw,transport,2755349
2015,TCULU_PLES_strict_grid_count_raw,ecological,5867107
2015,TCULU_PLES_strict_grid_count_raw,living,4973670
2015,TCULU_PLES_strict_grid_count_raw,production,1986307
2020,TCULU_fine_grid_count_raw,water,251767
2020,TCULU_fine_grid_count_raw,green_space,5086126
2020,TCULU_fine_grid_count_raw,farmland,332711
2020,TCULU_fine_grid_count_raw,bare_land,19272
2020,TCULU_fine_grid_count_raw,residential,3679410
2020,TCULU_fine_grid_count_raw,commercial,610736
2020,TCULU_fine_grid_count_raw,institutional,662723
2020,TCULU_fine_grid_count_raw,industrial,1978022
2020,TCULU_fine_grid_count_raw,transport,2976648
2020,TCULU_PLES_strict_grid_count_raw,ecological,5670604
2020,TCULU_PLES_strict_grid_count_raw,living,4952869
2020,TCULU_PLES_strict_grid_count_raw,production,1978022
