stage,source_class,target_class,conversion,n_grids,LST_2000_mean,LST_2005_mean,dLST_mean,dLST_ci_lo,dLST_ci_hi,LST_2010_mean,LST_2015_mean,LST_2020_mean
2000_2005,farmland,farmland,farmland_stable,968,32.648,33.5,0.852,0.783,0.916,,,
2000_2005,farmland,green_space,farmland_to_green_space,741,32.672,33.556,0.885,0.798,0.963,,,
2000_2005,farmland,living,farmland_to_living,847,32.951,34.265,1.315,1.241,1.39,,,
2000_2005,farmland,production,farmland_to_production,415,32.824,34.12,1.296,1.203,1.386,,,
2000_2005,farmland,water,farmland_to_water,138,32.686,33.486,0.8,0.629,0.99,,,
2000_2005,green_space,farmland,green_space_to_farmland,717,32.628,33.476,0.848,0.778,0.917,,,
2000_2005,green_space,green_space,green_space_stable,9800,30.283,30.881,0.598,0.58,0.614,,,
2000_2005,green_space,living,green_space_to_living,829,32.533,33.783,1.25,1.172,1.327,,,
2000_2005,green_space,production,green_space_to_production,359,32.581,33.754,1.173,1.065,1.272,,,
2000_2005,green_space,water,green_space_to_water,468,32.371,33.03,0.658,0.555,0.762,,,
2000_2005,living,farmland,living_to_farmland,95,32.867,33.546,0.679,0.498,0.864,,,
2000_2005,living,green_space,living_to_green_space,155,32.509,33.09,0.581,0.418,0.746,,,
2000_2005,living,living,living_stable,823,33.151,34.405,1.254,1.175,1.338,,,
2000_2005,living,production,living_to_production,167,32.736,34.049,1.312,1.134,1.498,,,
2000_2005,production,living,production_to_living,82,33.061,34.154,1.093,0.852,1.35,,,
2000_2005,production,production,production_stable,75,32.951,34.19,1.239,1.019,1.461,,,
2000_2005,water,farmland,water_to_farmland,100,32.611,33.759,1.148,0.891,1.411,,,
2000_2005,water,green_space,water_to_green_space,318,32.643,33.79,1.146,1.008,1.294,,,
2000_2005,water,living,water_to_living,330,32.336,34.707,2.371,2.206,2.537,,,
2000_2005,water,production,water_to_production,94,31.617,34.471,2.854,2.537,3.165,,,
2000_2005,water,water,water_stable,927,31.538,32.306,0.768,0.69,0.84,,,
2005_2010,farmland,farmland,farmland_stable,422,,32.965,1.213,1.095,1.319,34.178,,
2005_2010,farmland,green_space,farmland_to_green_space,466,,33.029,0.975,0.885,1.067,34.004,,
2005_2010,farmland,living,farmland_to_living,631,,34.159,1.263,1.183,1.344,35.421,,
2005_2010,farmland,production,farmland_to_production,284,,33.844,1.374,1.221,1.506,35.218,,
2005_2010,farmland,water,farmland_to_water,88,,32.843,0.789,0.54,1.053,33.632,,
2005_2010,green_space,farmland,green_space_to_farmland,254,,33.375,1.034,0.889,1.184,34.409,,
2005_2010,green_space,green_space,green_space_stable,9251,,30.711,0.267,0.249,0.286,30.978,,
2005_2010,green_space,living,green_space_to_living,885,,34.107,1.034,0.96,1.105,35.141,,
2005_2010,green_space,production,green_space_to_production,423,,33.558,1.293,1.184,1.399,34.851,,
2005_2010,green_space,water,green_space_to_water,209,,31.962,0.486,0.361,0.618,32.448,,
2005_2010,living,farmland,living_to_farmland,95,,33.47,1.146,0.941,1.334,34.616,,
2005_2010,living,green_space,living_to_green_space,270,,33.263,0.873,0.751,0.997,34.136,,
2005_2010,living,living,living_stable,2069,,34.378,1.163,1.115,1.21,35.541,,
2005_2010,living,production,living_to_production,459,,34.234,1.258,1.163,1.355,35.492,,
2005_2010,production,farmland,production_to_farmland,31,,33.734,1.289,0.888,1.733,35.024,,
2005_2010,production,green_space,production_to_green_space,79,,33.681,1.344,1.115,1.564,35.025,,
2005_2010,production,living,production_to_living,401,,34.184,1.186,1.079,1.288,35.369,,
2005_2010,production,production,production_stable,591,,33.98,1.309,1.204,1.406,35.289,,
2005_2010,water,farmland,water_to_farmland,90,,33.487,0.664,0.39,0.938,34.151,,
2005_2010,water,green_space,water_to_green_space,308,,33.141,0.38,0.264,0.499,33.521,,
2005_2010,water,living,water_to_living,303,,33.947,0.942,0.826,1.055,34.889,,
2005_2010,water,production,water_to_production,34,,33.814,1.106,0.724,1.477,34.92,,
2005_2010,water,water,water_stable,831,,31.859,0.463,0.39,0.536,32.322,,
2010_2015,farmland,farmland,farmland_stable,148,,,0.279,0.168,0.395,34.269,34.548,
2010_2015,farmland,green_space,farmland_to_green_space,230,,,0.311,0.217,0.411,33.719,34.03,
2010_2015,farmland,living,farmland_to_living,270,,,0.357,0.253,0.474,34.743,35.1,
