stage,conversion,n_grids,raw_dLST,background_dLST,attributed_dLST,attributed_ci_lo,attributed_ci_hi,background_reference
2000_2005,farmland_stable,968,0.852,0.613,0.239,0.173,0.306,green_space_stable_or_water_stable
2000_2005,farmland_to_green_space,741,0.885,0.613,0.272,0.187,0.353,green_space_stable_or_water_stable
2000_2005,farmland_to_living,847,1.315,0.613,0.702,0.633,0.774,green_space_stable_or_water_stable
2000_2005,farmland_to_production,415,1.296,0.613,0.684,0.587,0.778,green_space_stable_or_water_stable
2000_2005,farmland_to_water,138,0.8,0.613,0.187,-0.002,0.358,green_space_stable_or_water_stable
2000_2005,green_space_stable,9800,0.598,0.613,-0.015,-0.039,0.01,green_space_stable_or_water_stable
2000_2005,green_space_to_farmland,717,0.848,0.613,0.235,0.159,0.308,green_space_stable_or_water_stable
2000_2005,green_space_to_living,829,1.25,0.613,0.638,0.551,0.718,green_space_stable_or_water_stable
2000_2005,green_space_to_production,359,1.173,0.613,0.561,0.461,0.668,green_space_stable_or_water_stable
2000_2005,green_space_to_water,468,0.658,0.613,0.046,-0.047,0.146,green_space_stable_or_water_stable
2000_2005,living_stable,823,1.254,0.613,0.641,0.563,0.728,green_space_stable_or_water_stable
2000_2005,living_to_farmland,95,0.679,0.613,0.066,-0.107,0.249,green_space_stable_or_water_stable
2000_2005,living_to_green_space,155,0.581,0.613,-0.032,-0.199,0.144,green_space_stable_or_water_stable
2000_2005,living_to_production,167,1.312,0.613,0.7,0.512,0.892,green_space_stable_or_water_stable
2000_2005,production_stable,75,1.239,0.613,0.626,0.392,0.847,green_space_stable_or_water_stable
2000_2005,production_to_living,82,1.093,0.613,0.48,0.253,0.723,green_space_stable_or_water_stable
2000_2005,water_stable,927,0.768,0.613,0.156,0.082,0.232,green_space_stable_or_water_stable
2000_2005,water_to_farmland,100,1.148,0.613,0.535,0.268,0.815,green_space_stable_or_water_stable
2000_2005,water_to_green_space,318,1.146,0.613,0.533,0.385,0.668,green_space_stable_or_water_stable
2000_2005,water_to_living,330,2.371,0.613,1.759,1.594,1.926,green_space_stable_or_water_stable
2000_2005,water_to_production,94,2.854,0.613,2.241,1.928,2.563,green_space_stable_or_water_stable
2005_2010,farmland_stable,422,1.213,0.283,0.93,0.823,1.044,green_space_stable_or_water_stable
2005_2010,farmland_to_green_space,466,0.975,0.283,0.691,0.594,0.788,green_space_stable_or_water_stable
2005_2010,farmland_to_living,631,1.263,0.283,0.979,0.893,1.06,green_space_stable_or_water_stable
2005_2010,farmland_to_production,284,1.374,0.283,1.091,0.939,1.233,green_space_stable_or_water_stable
2005_2010,farmland_to_water,88,0.789,0.283,0.506,0.252,0.766,green_space_stable_or_water_stable
2005_2010,green_space_stable,9251,0.267,0.283,-0.016,-0.042,0.01,green_space_stable_or_water_stable
2005_2010,green_space_to_farmland,254,1.034,0.283,0.751,0.609,0.904,green_space_stable_or_water_stable
2005_2010,green_space_to_living,885,1.034,0.283,0.751,0.671,0.824,green_space_stable_or_water_stable
2005_2010,green_space_to_production,423,1.293,0.283,1.009,0.896,1.123,green_space_stable_or_water_stable
2005_2010,green_space_to_water,209,0.486,0.283,0.203,0.07,0.347,green_space_stable_or_water_stable
2005_2010,living_stable,2069,1.163,0.283,0.88,0.831,0.93,green_space_stable_or_water_stable
2005_2010,living_to_farmland,95,1.146,0.283,0.863,0.684,1.042,green_space_stable_or_water_stable
2005_2010,living_to_green_space,270,0.873,0.283,0.59,0.464,0.702,green_space_stable_or_water_stable
2005_2010,living_to_production,459,1.258,0.283,0.974,0.875,1.085,green_space_stable_or_water_stable
2005_2010,production_stable,591,1.309,0.283,1.025,0.927,1.13,green_space_stable_or_water_stable
2005_2010,production_to_farmland,31,1.289,0.283,1.006,0.586,1.409,green_space_stable_or_water_stable
2005_2010,production_to_green_space,79,1.344,0.283,1.06,0.851,1.287,green_space_stable_or_water_stable
2005_2010,production_to_living,401,1.186,0.283,0.902,0.793,1.011,green_space_stable_or_water_stable
2005_2010,water_stable,831,0.463,0.283,0.18,0.103,0.257,green_space_stable_or_water_stable
2005_2010,water_to_farmland,90,0.664,0.283,0.381,0.112,0.659,green_space_stable_or_water_stable
2005_2010,water_to_green_space,308,0.38,0.283,0.096,-0.016,0.204,green_space_stable_or_water_stable
2005_2010,water_to_living,303,0.942,0.283,0.659,0.535,0.783,green_space_stable_or_water_stable
2005_2010,water_to_production,34,1.106,0.283,0.823,0.456,1.177,green_space_stable_or_water_stable
2010_2015,farmland_stable,148,0.279,0.303,-0.024,-0.134,0.1,green_space_stable_or_water_stable
2010_2015,farmland_to_green_space,230,0.311,0.303,0.008,-0.094,0.104,green_space_stable_or_water_stable
2010_2015,farmland_to_living,270,0.357,0.303,0.053,-0.051,0.167,green_space_stable_or_water_stable
2010_2015,farmland_to_production,197,0.375,0.303,0.072,-0.03,0.183,green_space_stable_or_water_stable
2010_2015,farmland_to_water,47,0.507,0.303,0.204,0.006,0.399,green_space_stable_or_water_stable
2010_2015,green_space_stable,8675,0.297,0.303,-0.006,-0.026,0.015,green_space_stable_or_water_stable
2010_2015,green_space_to_farmland,71,0.386,0.303,0.083,-0.066,0.241,green_space_stable_or_water_stable
2010_2015,green_space_to_living,1020,0.364,0.303,0.061,0.006,0.115,green_space_stable_or_water_stable
2010_2015,green_space_to_production,442,0.497,0.303,0.194,0.112,0.281,green_space_stable_or_water_stable
2010_2015,green_space_to_water,166,0.244,0.303,-0.059,-0.18,0.062,green_space_stable_or_water_stable
2010_2015,living_stable,2961,0.292,0.303,-0.011,-0.05,0.029,green_space_stable_or_water_stable
2010_2015,living_to_green_space,270,0.262,0.303,-0.041,-0.15,0.066,green_space_stable_or_water_stable
2010_2015,living_to_production,982,0.39,0.303,0.087,0.022,0.154,green_space_stable_or_water_stable
2010_2015,living_to_water,49,0.428,0.303,0.125,-0.118,0.376,green_space_stable_or_water_stable
2010_2015,production_stable,1021,0.463,0.303,0.16,0.1,0.228,green_space_stable_or_water_stable
2010_2015,production_to_green_space,109,0.215,0.303,-0.088,-0.275,0.111,green_space_stable_or_water_stable
2010_2015,production_to_living,648,0.396,0.303,0.093,-0.001,0.177,green_space_stable_or_water_stable
2010_2015,water_stable,599,0.387,0.303,0.084,0.023,0.148,green_space_stable_or_water_stable
2010_2015,water_to_farmland,61,0.611,0.303,0.308,0.143,0.48,green_space_stable_or_water_stable
2010_2015,water_to_green_space,287,0.453,0.303,0.15,0.05,0.25,green_space_stable_or_water_stable
2010_2015,water_to_living,169,0.479,0.303,0.176,0.048,0.303,green_space_stable_or_water_stable
2010_2015,water_to_production,40,0.464,0.303,0.161,-0.126,0.458,green_space_stable_or_water_stable
2015_2020,farmland_stable,68,0.562,-0.07,0.633,0.399,0.883,green_space_stable_or_water_stable
2015_2020,farmland_to_green_space,87,-0.206,-0.07,-0.136,-0.332,0.043,green_space_stable_or_water_stable
2015_2020,farmland_to_living,110,0.114,-0.07,0.185,-0.02,0.369,green_space_stable_or_water_stable
2015_2020,farmland_to_production,34,0.821,-0.07,0.891,0.498,1.283,green_space_stable_or_water_stable
2015_2020,green_space_stable,8068,-0.065,-0.07,0.005,-0.021,0.028,green_space_stable_or_water_stable
2015_2020,green_space_to_farmland,45,0.175,-0.07,0.246,-0.048,0.522,green_space_stable_or_water_stable
2015_2020,green_space_to_living,1143,0.005,-0.07,0.076,0.018,0.14,green_space_stable_or_water_stable
2015_2020,green_space_to_production,269,0.275,-0.07,0.346,0.223,0.474,green_space_stable_or_water_stable
2015_2020,green_space_to_water,42,-0.171,-0.07,-0.1,-0.299,0.117,green_space_stable_or_water_stable
2015_2020,living_stable,4010,0.093,-0.07,0.163,0.127,0.199,green_space_stable_or_water_stable
2015_2020,living_to_green_space,279,0.026,-0.07,0.096,-0.029,0.229,green_space_stable_or_water_stable
2015_2020,living_to_production,763,0.196,-0.07,0.266,0.187,0.34,green_space_stable_or_water_stable
2015_2020,production_stable,1389,0.315,-0.07,0.386,0.325,0.446,green_space_stable_or_water_stable
2015_2020,production_to_green_space,187,0.325,-0.07,0.396,0.231,0.562,green_space_stable_or_water_stable
2015_2020,production_to_living,1084,0.272,-0.07,0.342,0.281,0.411,green_space_stable_or_water_stable
2015_2020,water_stable,278,-0.223,-0.07,-0.153,-0.246,-0.07,green_space_stable_or_water_stable
2015_2020,water_to_farmland,49,-0.075,-0.07,-0.005,-0.301,0.277,green_space_stable_or_water_stable
2015_2020,water_to_green_space,371,-0.218,-0.07,-0.148,-0.242,-0.047,green_space_stable_or_water_stable
2015_2020,water_to_living,144,-0.418,-0.07,-0.348,-0.533,-0.172,green_space_stable_or_water_stable
