stage,treated,control,n_treated_pre,n_control_pre,status,n_matched,att_dLST,att_ci_lo,att_ci_hi,treated_raw_dLST,control_raw_dLST,caliper,covariates
2000_2005,green_space_to_living,green_space_stable,829,9800,ok,828.0,0.452,0.343,0.561,1.249,0.798,0.4145,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,green_space_to_production,green_space_stable,359,9800,ok,358.0,0.414,0.268,0.569,1.172,0.758,0.4614,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,farmland_to_living,farmland_stable,847,968,ok,844.0,0.399,0.295,0.501,1.312,0.914,0.0997,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,farmland_to_production,farmland_stable,415,968,ok,415.0,0.383,0.255,0.505,1.296,0.913,0.0887,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,water_to_living,water_stable,330,927,ok,330.0,1.216,1.024,1.405,2.371,1.156,0.3334,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,water_to_production,water_stable,94,927,ok,94.0,1.749,1.358,2.142,2.854,1.104,0.2719,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,living_to_production,living_stable,167,823,ok,167.0,-0.1,-0.357,0.141,1.312,1.412,0.116,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2000_2005,production_to_living,production_stable,82,75,skipped_insufficient_samples,,,,,,,,
2005_2010,green_space_to_living,green_space_stable,885,9251,ok,885.0,0.374,0.27,0.474,1.034,0.66,0.5923,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2005_2010,green_space_to_production,green_space_stable,423,9251,ok,419.0,0.522,0.368,0.681,1.287,0.765,0.5201,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
2005_2010,farmland_to_living,farmland_stable,631,422,ok,631.0,0.159,0.048,0.277,1.263,1.104,0.2457,"DEM_mean_t0,slope_mean_t0,NDVI_mean_t0,NDBI_mean_t0,MNDWI_mean_t0,MODIS_LST_t0"
